p,m_k,n_k,q_k
2551433,10,2,1597
2563217,4,2,1601
2563937,20,2,1231
2581673,18,2,1523
2588897,4,2,1609
2601773,2,2,1613
2602793,10,2,1613
2608577,20,2,1249
2627657,4,2,1621
2627897,8,2,1621
2628737,16,2,1601
2642993,18,2,1543
2647133,2,2,1627
2647193,6,2,1627
2663513,14,2,1627
2679773,2,2,1637
2693177,16,2,1621
2702003,14,3,139
2738243,18,5,19
2762033,14,2,1657
2766593,10,2,1663
2785577,4,2,1669
2788337,20,2,1319
2812553,18,2,1597
2825777,4,4,41
2851097,16,2,1669
2879873,6,2,1697
2922737,20,4,37
2924777,12,2,1709
2955737,20,2,1381
2968733,2,2,1723
2985113,14,2,1723
3003353,6,2,1733
3031337,8,2,1741
3052073,6,2,1747
3068393,14,2,1747
3073013,2,2,1753
3074033,10,2,1753
3095641,19,3,137
3096617,16,2,1741
3096959,20,3,127
3128393,18,2,1693
3177257,20,2,1459
3194393,10,2,1787
3230873,18,2,1723
3241937,20,2,1481
3265433,18,2,1733
3279737,4,2,1811
3279977,8,2,1811
3283817,12,2,1811
3308077,7,3,149
3309997,11,3,149
3324353,10,2,1823
3356657,12,2,1831
3427793,14,2,1847
3441233,18,2,1783
3443207,8,3,151
3479057,20,2,1559
3485753,6,2,1867
3486713,10,2,1867
3500897,8,2,1871
3502073,14,2,1867
3509153,10,2,1873
3517009,21,5,17
3528857,16,2,1861
3541817,20,2,1579
3566177,16,2,1871
3568337,4,2,1889
3568577,8,2,1889
3572417,12,2,1889
3614057,8,2,1901
3633857,16,2,1889
3729017,8,2,1931
3732857,12,2,1931
3747833,18,2,1867
3785273,18,2,1877
3798857,8,2,1949
3810497,12,2,1951
3864137,16,2,1949
3870149,8,3,157
3874337,20,4,41
3893753,10,2,1973
3948173,2,2,1987
3949193,10,2,1987
3972113,6,2,1993
3988073,6,2,1997
3988433,14,2,1993
3996017,4,2,1999
4004393,14,2,1997
4012013,2,2,2003
4068353,6,2,2017
4116857,4,2,2029
4120937,12,2,2029
4125113,14,2,2027
4142657,20,2,1759
4194329,22,2,5
4194353,22,2,7
4195033,22,6,3
4196513,22,2,47
4198793,22,2,67
4199633,22,2,73
4209929,22,6,5
4210433,22,2,127
4211111,22,5,7
4213073,22,2,137
4215833,10,2,2053
4220873,22,2,163
4223057,16,2,2039
4231553,22,2,193
4233113,22,2,197
4245833,22,2,227
4249097,20,2,1789
4274393,22,2,283
4280153,22,2,293
4284857,12,2,2069
4292273,22,2,313
4328993,22,2,367
4330763,4,3,163
4334657,12,2,2081
4340993,22,2,383
4355573,2,2,2087
4364177,8,2,2089
4390553,22,2,443
4396097,16,2,2081
4396283,16,3,163
4409897,12,2,2099
4412393,22,2,467
4429457,16,2,2089
4467377,20,4,43
4467833,22,2,523
4481153,14,2,2113
4493513,22,2,547
4527233,22,2,577
4532657,4,2,2129
4567793,10,2,2137
4583321,22,3,73
4592453,2,2,2143
4606697,16,2,2131
4608833,14,2,2143
4612913,22,2,647
4617713,18,2,2087
4635473,6,2,2153
4649417,16,2,2141
4659511,11,3,167
4662377,20,2,1901
4767353,22,2,757
4782971,1,14,3
4782977,3,14,3
4783993,10,14,3
4813577,16,2,2179
4813673,22,2,787
4826813,2,6,13
4847177,20,2,1949
4853273,6,2,2203
4854233,10,2,2203
4871873,10,2,2207
4878233,22,2,827
4879937,8,4,47
4897553,18,2,2153
4921913,22,2,853
4939073,22,2,863
5013137,4,2,2239
5013377,8,2,2239
5016953,22,2,907
5020553,14,2,2237
5044577,20,2,1999
5045113,18,14,3
5071097,12,2,2251
5091113,22,2,947
5115353,18,2,2203
5132537,16,2,2251
5132993,18,2,2207
5152457,12,2,2269
5155673,14,2,2267
5159513,18,2,2213
5160593,22,2,983
5165417,20,2,2029
5177719,1,3,173
5182913,14,2,2273
5258873,10,2,2293
5287031,22,3,103
5308789,17,3,173
5324273,22,2,1063
5388953,22,2,1093
5397713,22,2,1097
5401433,18,2,2267
5406257,16,2,2311
5412497,20,2,2089
5428673,18,2,2273
5442893,2,2,2333
5443913,10,2,2333
5454377,20,2,2099
5471177,8,2,2339
5480297,4,2,2341
5489333,22,3,109
5509433,10,2,2347
5524793,14,2,2347
5571833,14,2,2357
5581217,20,2,2129
5617553,22,2,1193
5650133,2,2,2377
5650193,6,2,2377
5705033,18,2,2333
5711417,12,2,2389
5718497,20,2,2161
5734697,16,2,2381
5735467,7,3,179
5742833,14,2,2393
5764817,4,8,7
5768897,12,8,7
5770553,18,2,2347
5817593,18,2,2357
5870993,6,2,2423
5876513,22,2,1297
5892113,22,2,1303
5939033,6,2,2437
5939993,10,2,2437
5940833,18,2,2383
5962577,12,2,2441
5987873,6,2,2447
5988833,10,2,2447
5995277,16,3,181
6024017,16,2,2441
6046697,4,2,2459
6061697,20,2,2239
6062993,22,2,1367
6087113,10,2,2467
6135533,2,2,2477
6135593,6,2,2477
6196937,20,2,2269
6219233,22,2,1423
6230633,22,2,1427
6249953,18,2,2447
6251537,20,2,2281
6266033,10,2,2503
6348233,18,2,2467
6355457,4,2,2521
6359537,12,2,2521
6380057,20,2,2309
6405473,22,2,1487
6436351,3,5,23
6438391,11,5,23
6446777,8,2,2539
6466853,2,2,2543
6483233,14,2,2543
