p,m_k,n_k,q_k
1063477577,8,2,32611
1064129897,8,2,32621
1064133737,12,2,32621
1064295977,28,2,28211
1064913713,10,2,32633
1065826673,6,2,32647
1066088753,18,2,32647
1066218473,6,2,32653
1066219433,10,2,32653
1067250137,24,2,32411
1068137297,28,2,28279
1068388313,26,2,31643
1068440993,10,2,32687
1068456353,14,2,32687
1069764233,14,2,32707
1069834937,28,2,28309
1069907753,26,2,31667
1070402153,6,2,32717
1070412713,22,2,32653
1070532977,4,2,32719
1072101257,28,2,28349
1072497017,4,2,32749
1072634273,22,2,32687
1073283377,8,4,181
1073711393,26,2,31727
1073741833,30,2,3
1073741993,30,2,13
1073742113,30,2,17
1073742353,30,2,23
1073747153,30,2,73
1073769713,30,2,167
1073836073,30,2,307
1073862233,30,2,347
1073880953,30,2,373
1073888513,30,2,383
1074015353,30,2,523
1074052073,30,2,557
1074160433,30,2,647
1074194753,30,2,673
1074208313,30,2,683
1074314873,30,2,757
1074339353,30,2,773
1074466937,12,2,32779
1074528593,30,2,887
1074638633,30,2,947
1074735833,30,2,997
1075071233,30,2,1153
1075094393,30,2,1163
1075122617,12,2,32789
1075336147,30,13,3
1075424033,30,2,1297
1075439633,30,2,1303
1075626953,30,2,1373
1075970873,30,2,1493
1076036813,2,2,32803
1076053193,14,2,32803
1076197313,30,2,1567
1076292233,30,2,1597
1076388953,30,2,1627
1076520713,30,2,1667
1076643497,28,2,28429
1077227513,30,2,1867
1077378473,30,2,1907
1077401393,30,2,1913
1077878657,12,2,32831
1078005953,6,2,32833
1078022273,14,2,32833
1078334273,30,2,2143
1078399937,4,2,32839
1078524793,30,14,3
1078679033,14,2,32843
1079250233,30,2,2347
1079612753,30,2,2423
1079729633,30,2,2447
1079837513,22,2,32797
1079877353,30,2,2477
1080006833,30,2,2503
1080254537,24,2,32611
1080628457,28,2,28499
1080748433,30,2,2647
1081320833,30,2,2753
1081398113,30,2,2767
1081453553,30,2,2777
1081904273,30,2,2857
1082134433,30,2,2897
1082250713,30,2,2917
1082856953,22,2,32843
1082965193,30,2,3037
1083002537,8,2,32909
1083480857,28,2,28549
1083528893,2,2,32917
1083529913,10,2,32917
1083898793,30,2,3187
1084349873,30,2,3257
1084582493,2,2,32933
1084598873,14,2,32933
1085043257,16,2,32939
1085109737,8,2,32941
1085113577,12,2,32941
1085749073,22,2,32887
1085880737,28,2,28591
1086163913,6,2,32957
1086164873,10,2,32957
1086180233,14,2,32957
1086579713,30,2,3583
1086824513,30,2,3617
1086959057,12,2,32969
1087087097,8,2,32971
1087409633,30,2,3697
1087723193,22,2,32917
1088158553,14,2,32987
1088169617,28,2,28631
1088538053,2,2,32993
1088742233,26,2,31963
1088934257,8,2,32999
1088999537,16,2,32999
1089006473,30,2,3907
1089084713,30,2,3917
1089289073,30,2,3943
1089320633,30,2,3947
1090258573,29,3,821
1090331153,30,2,4073
1090518593,6,2,33023
1090715657,24,2,32771
1090989233,30,2,4153
1091443373,2,2,33037
1092072593,22,2,32983
1092500873,6,2,33053
1092517193,14,2,33053
1092762953,18,2,33053
1093075433,30,2,4397
1093304753,30,2,4423
1093660193,30,2,4463
1093691057,4,2,33071
1093695137,12,2,33071
1093839113,30,2,4483
1094052473,22,2,33013
1094145113,30,2,4517
1094417033,30,2,4547
1094739617,20,2,33071
1094760113,26,2,32057
1095429473,30,2,4657
1095912793,1,3,1031
1095912823,5,3,1031
1095912919,7,3,1031
1095920983,13,3,1031
1096427753,26,2,32083
1097781233,30,2,4903
1098115793,30,2,4937
1098472553,30,2,4973
1098611993,30,2,4987
1098679193,22,2,33083
1098972353,30,2,5023
1099054337,16,2,33151
1099651937,4,2,33161
1099884593,30,2,5113
1100281313,26,2,32143
1100846297,8,2,33179
1101126113,30,2,5233
1101894617,20,2,33179
1101970097,28,2,28871
1102027337,20,2,33181
1102173857,8,2,33199
1102302953,4,3,1033
1102332233,30,2,5347
1102368473,16,3,1033
1102826273,30,2,5393
1102970537,4,2,33211
1103085713,30,2,5417
1103767793,6,2,33223
1103768753,10,2,33223
1104029873,18,2,33223
1104142073,26,2,32203
1105698233,30,2,5653
1106480057,28,2,28949
1107174977,28,2,28961
1107695753,30,2,5827
1108024433,6,2,33287
1108157777,8,2,33289
1108161617,12,2,33289
1108286513,18,2,33287
1108956617,4,2,33301
1108956857,8,2,33301
1109622977,8,2,33311
1110022553,6,2,33317
1110038873,14,2,33317
1110259673,30,2,6043
1110822497,8,2,33329
1110826337,12,2,33329
1110955817,8,2,33331
1111110593,30,2,6113
1111791497,24,2,33091
1112038793,14,2,33347
1112221337,16,2,33349
1112422613,2,2,33353
1112438993,14,2,33353
1112860937,28,2,29059
1113031757,28,5,61
1113871457,20,2,33359
1114025153,10,2,33377
1114040513,14,2,33377
1114102433,30,2,6353
1114286273,18,2,33377
1115633417,24,2,33149
1115761433,10,2,33403
1116007457,20,2,33391
1116165377,12,2,33409
1116428633,6,2,33413
1117364393,6,2,33427
1118419697,24,2,33191
1118672033,30,2,6703
1118950817,24,2,33199
1119370853,2,2,33457
1119479993,30,2,6763
1119638777,8,2,33461
1119704057,16,2,33461
1119747737,24,2,33211
1120843697,8,2,33479
1121622323,2,3,1039
1121781053,2,2,33493
1121892017,20,2,33479
1122302297,28,2,29221
1122451073,6,2,33503
1122467393,14,2,33503
1122699833,30,2,6997
1122713153,18,2,33503
1123345673,30,2,7043
1123661537,12,2,33521
1124193857,4,2,33529
1124194433,30,2,7103
1124197937,12,2,33529
1124478473,14,2,33533
1124535953,30,2,7127
1124706017,20,2,33521
1125401273,6,2,33547
1125402233,10,2,33547
1125504953,26,2,32533
1125765233,26,2,32537
1125975353,22,2,33493
1126645313,22,2,33503
1126877777,4,2,33569
1126881857,12,2,33569
1127677073,18,2,33577
1128220937,4,2,33589
1128225017,12,2,33589
1128753713,30,2,7417
1128933017,24,2,33349
1129027457,8,2,33601
1129031297,12,2,33601
1129269497,20,2,33589
1129595513,22,2,33547
1129600097,24,2,33359
1129833833,6,2,33613
1130064473,26,2,32603
1130119073,14,2,33617
1130237177,4,2,33619
1130506133,2,2,33623
1130507153,10,2,33623
1130522513,14,2,33623
1130548193,30,2,7537
1130909657,4,2,33629
1130975177,16,2,33629
1131092153,30,2,7573
1131152753,30,2,7577
1131608273,30,2,7607
1131736097,24,2,33391
1131782417,16,2,33641
1132854257,28,2,29401
1133293913,30,2,7717
1134296993,22,2,33617
1134472673,30,2,7793
1134501497,28,2,29429
1134941153,30,2,7823
1135631513,30,2,7867
1135892273,6,2,33703
1135908593,14,2,33703
1136314913,22,2,33647
1136566373,2,2,33713
1137105857,4,2,33721
1138014113,30,2,8017
1138320137,4,2,33739
1138385657,16,2,33739
1138995017,4,2,33749
1139130017,4,2,33751
1139134097,12,2,33751
1139535113,6,2,33757
1139797193,18,2,33757
1140043577,20,2,33749
1140115433,30,2,8147
1140178577,20,2,33751
1140345377,4,2,33769
1140615533,2,2,33773
1140631913,14,2,33773
1141835777,12,2,33791
1142238233,10,2,33797
1142499353,18,2,33797
1143052577,12,2,33809
1143187817,12,2,33811
1143249257,16,2,33811
1144266953,10,2,33827
1144404593,22,2,33767
1144466777,16,2,33829
1144536257,28,2,29599
1144809833,22,2,33773
1144998137,24,2,33589
1145431913,30,2,8467
1145771513,26,2,32843
1145890217,4,2,33851
1146212993,30,2,8513
1146296453,2,2,33857
1146312833,14,2,33857
1147238153,30,2,8573
1147244897,8,2,33871
1147248737,12,2,33871
1148166953,30,2,8627
1148293217,20,2,33871
1148529857,16,2,33889
1148735453,2,2,33893
1149032153,30,2,8677
1149553673,30,2,8707
1149658193,30,2,8713
1149960017,12,2,33911
1150490753,22,2,33857
1151234633,30,2,8803
1151305073,30,2,8807
1151378297,16,2,33931
1151834393,30,2,8837
1151982113,18,2,33937
1152962537,28,2,29741
1153349777,8,2,33961
1153757093,2,2,33967
1153757153,6,2,33967
1153773473,14,2,33967
1153883057,24,2,33721
1155097337,24,2,33739
1155646913,26,2,32993
1155796013,2,2,33997
1155797033,10,2,33997
1155914273,22,2,33937
1156967033,26,2,33013
1157153513,30,2,9133
1158653537,4,2,34039
1158653777,8,2,34039
1158719057,16,2,34039
1159157537,20,2,34031
1160101673,30,2,9293
1160151977,8,2,34061
1160935667,4,3,1051
1161001187,16,3,1051
1161200297,20,2,34061
1163579633,26,2,33113
1163934833,30,2,9497
1164180497,28,4,173
1164358619,21,19,3
1164379133,2,2,34123
1164380153,10,2,34123
1164652193,6,2,34127
1164792737,12,2,34129
1165608137,8,2,34141
1165611977,12,2,34141
1165837217,20,2,34129
1166729273,30,2,9643
1166837297,4,2,34159
1166837537,8,2,34159
1167657497,8,2,34171
1168477553,6,2,34183
1168493873,14,2,34183
1168573433,22,2,34123
1168768697,24,2,33941
1170176297,28,2,30029
1170392537,4,2,34211
1170804113,10,2,34217
1170876593,26,2,33223
1170902273,30,2,9857
1171441097,20,2,34211
1171761377,4,2,34231
1172700497,28,2,30071
1173202553,30,2,9973
1173269033,10,2,34253
1174639553,10,2,34273
1174654913,14,2,34273
1174727657,20,2,34259
1174900673,18,2,34273
1175324153,6,2,34283
1175340473,14,2,34283
1175610473,30,2,10093
1176419513,30,2,10133
1176562697,12,2,34301
1176695813,2,2,34303
1176712193,14,2,34303
1177028393,30,2,10163
1178251553,30,2,10223
1178343953,10,2,34327
1178421593,22,2,34267
1178832833,22,2,34273
1178842337,20,2,34319
1179029633,6,2,34337
1179131273,26,2,33347
1179153113,30,2,10267
1180056737,16,2,34351
1180595393,30,2,10337
1180682417,12,2,34361
1180719473,30,2,10343
1181090693,2,2,34367
1181090753,6,2,34367
1181107073,14,2,34367
1181139977,28,2,30211
1181232257,12,2,34369
1181293697,16,2,34369
1181565857,24,2,34129
1181576273,22,2,34313
1182118697,16,2,34381
1182276737,20,2,34369
1182953537,28,2,30241
1183101737,20,2,34381
1183566413,2,2,34403
1184809337,12,2,34421
1185853817,20,2,34421
1186038233,30,2,10597
1186044737,4,2,34439
1186048817,12,2,34439
1186404617,20,2,34429
1187285873,10,2,34457
1188116057,12,2,34469
1188538577,24,2,34231
1188889913,26,2,33493
1189077293,2,2,34483
1189093673,14,2,34483
1189160537,20,2,34469
1190323097,12,2,34501
1190384537,16,2,34501
1191147173,2,2,34513
1191147233,6,2,34513
1191229577,20,2,34499
1191626897,16,2,34519
1192048337,28,2,30391
1192181513,30,2,10883
1192617233,30,2,10903
1192820753,14,2,34537
1193218853,2,2,34543
1193547473,22,2,34487
1193633657,8,2,34549
1193698937,16,2,34549
1194390013,5,3,1061
1194398173,13,3,1061
1194914269,19,3,1061
1195336553,30,2,11027
1195577057,28,2,30449
1195999073,30,2,11057
1196246033,18,2,34583
1196399177,8,2,34589
1196403017,12,2,34589
1196541377,12,2,34591
1196663393,30,2,11087
1196942633,26,2,33613
1197240593,30,2,11113
1197329513,30,2,11117
1197614993,26,2,33623
1198005377,24,2,34369
1198060793,10,2,34613
1198321913,18,2,34613
1198577753,30,2,11173
1198667153,30,2,11177
1199114633,30,2,11197
1199234537,28,2,30509
1199473193,30,2,11213
1200178193,22,2,34583
1200455297,28,2,30529
1200553217,4,2,34649
1200553457,8,2,34649
1200692057,8,2,34651
1201158071,10,3,1063
1201561913,22,2,34603
1201601777,20,2,34649
1201800893,2,2,34667
1201817273,14,2,34667
1201838753,22,2,34607
1202063033,18,2,34667
1202881987,30,17,3
1203542273,30,2,11393
1203866393,18,2,34693
1204298213,2,2,34703
1205351351,22,3,1063
1205551937,12,2,34721
1205601113,30,2,11483
1205613377,16,2,34721
1206613553,30,2,11527
1206798137,4,2,34739
1206798377,8,2,34739
1206863657,16,2,34739
1207354073,6,2,34747
1207355033,10,2,34747
1207616153,18,2,34747
1208065433,14,2,34757
1208188337,8,2,34759
1208467193,10,2,34763
1208492513,22,2,34703
1209068513,30,2,11633
1209627473,30,2,11657
1209718217,8,2,34781
1211374793,26,2,33827
1211527313,6,2,34807
1212243353,22,2,34757
1212363017,8,2,34819
1213811633,26,2,33863
1214035673,10,2,34843
1214296793,18,2,34843
1214313473,6,2,34847
1215280433,30,2,11897
1215423233,30,2,11903
1215721553,22,2,34807
1216405133,2,2,34877
1216405193,6,2,34877
1216421513,14,2,34877
1216823693,2,2,34883
1216840073,14,2,34883
1217801633,10,2,34897
1218828833,26,2,33937
1219336817,8,2,34919
1219499153,30,2,12073
1219602737,28,2,30841
1220321273,30,2,12107
1220599433,22,2,34877
1220703157,5,13,5
1220703637,9,13,5
1221432857,8,2,34949
1221612533,10,3,1069
1221782297,20,2,34939
1221994913,22,2,34897
1222271537,4,2,34961
1222275617,12,2,34961
1222427753,14,2,34963
1224122993,30,2,12263
1224965297,24,2,34759
1225353953,26,2,34033
1226091473,30,2,12343
1226276057,28,2,30949
1226495177,24,2,34781
1226605673,22,2,34963
1226832953,30,2,12373
1226890793,6,2,35027
1226907113,14,2,35027
1227152873,18,2,35027
1227638297,28,2,30971
1227824393,30,2,12413
1228420793,30,2,12437
1228712873,6,2,35053
1228729193,14,2,35053
1228918673,30,2,12457
1228974953,18,2,35053
1229621177,20,2,35051
1229666993,30,2,12487
1229834777,4,2,35069
1229835017,8,2,35069
1229900297,16,2,35069
1230417113,30,2,12517
1230804833,22,2,35023
1230816893,2,2,35083
1230816953,6,2,35083
1230833273,14,2,35083
1231303457,16,2,35089
1231939817,4,2,35099
1232501453,2,2,35107
1232502473,10,2,35107
1232763593,18,2,35107
1232829593,30,2,12613
1232847857,16,2,35111
1233203753,6,2,35117
1233688433,30,2,12647
1233809513,26,2,34157
1234050737,12,2,35129
1235452217,4,2,35149
1235452457,8,2,35149
1235517737,16,2,35149
1235749793,14,2,35153
1236159377,12,2,35159
1236500777,20,2,35149
1236635993,30,2,12763
1239048737,24,2,34961
1239110657,8,2,35201
1239175937,16,2,35201
1240590713,30,2,12917
1240941593,6,2,35227
1240942553,10,2,35227
1241567417,20,2,35221
1242633017,4,2,35251
1242698537,16,2,35251
1243600913,30,2,13033
1243761353,6,2,35267
1244607857,4,2,35279
1244748977,4,2,35281
1244753057,12,2,35281
1244814497,16,2,35281
1245797537,20,2,35281
1246059953,30,2,13127
1246138433,26,2,34337
1246585433,30,2,13147
1246870817,12,2,35311
1246932257,16,2,35311
1247006393,30,2,13163
1247638793,30,2,13187
1247976473,18,2,35323
1248717017,24,2,35099
1249315217,28,2,31319
1249834613,2,2,35353
1249850993,14,2,35353
1250541833,6,2,35363
1250542793,10,2,35363
1250675273,26,2,34403
1250823857,24,2,35129
1251908633,22,2,35323
1252664453,2,2,35393
1252680833,14,2,35393
1253230817,4,2,35401
1253234897,12,2,35401
1253917793,18,2,35407
1254505817,8,2,35419
1254509657,12,2,35419
1254736073,22,2,35363
1255051073,18,2,35423
1255887617,24,2,35201
1257296057,24,2,35221
1257425633,30,2,13553
1257548057,16,2,35461
1257849953,22,2,35407
1258256033,26,2,34513
1259488817,28,2,31481
1259600513,30,2,13633
1259611337,8,2,35491
1259615177,12,2,35491
1259992577,28,2,31489
1260659657,20,2,35491
1260747053,2,2,35507
1261741457,4,2,35521
1261806977,16,2,35521
1261937657,20,2,35509
1262167793,6,2,35527
1262184113,14,2,35527
1262594093,2,2,35533
1262610473,14,2,35533
1262879393,10,2,35537
1262996873,30,2,13757
1263161993,30,2,13763
1265153777,4,2,35569
1265168633,26,2,34613
1265454713,14,2,35573
1266312953,30,2,13877
1266362033,22,2,35527
1266784817,16,2,35591
1266878033,14,2,35593
1267035233,30,2,13903
1267058657,28,2,31601
1267573613,2,2,35603
1267870313,30,2,13933
1268571713,10,2,35617
1268832833,18,2,35617
1269325793,26,2,34673
1271055953,22,2,35593
1272072713,30,2,14083
1272424337,12,2,35671
1272848393,6,2,35677
1273110473,18,2,35677
1273468817,20,2,35671
1274615753,30,2,14173
1275164897,28,2,31729
1275575033,26,2,34763
1276604873,30,2,14243
1277704817,28,2,31769
1277752937,20,2,35731
1278317633,30,2,14303
1278710177,12,2,35759
1278890153,30,2,14323
1279564457,4,2,35771
1279611857,28,2,31799
1279629977,16,2,35771
1280727593,30,2,14387
1281425213,2,2,35797
1281425273,6,2,35797
1281930977,24,2,35569
1282288577,12,2,35809
1282794257,28,2,31849
1283860577,4,2,35831
1283926097,16,2,35831
1284365519,4,3,1087
1284909473,26,2,34897
1285240673,30,2,14543
1285294457,8,2,35851
1285298297,12,2,35851
1285359737,16,2,35851
1286650697,16,2,35869
1286697473,30,2,14593
1287302657,4,2,35879
1287302897,8,2,35879
1287306737,12,2,35879
1287690953,30,2,14627
1288452233,30,2,14653
1288559807,22,3,1087
1288594673,6,2,35897
1288720373,26,3,1069
1288742297,12,2,35899
1289600177,8,2,35911
1289665457,16,2,35911
1291181513,10,2,35933
1291219817,28,2,31981
1291859537,28,2,31991
1292478497,12,2,35951
1292693033,30,2,14797
1292928943,29,3,911
1293768977,4,2,35969
1294360913,14,2,35977
1294777313,10,2,35983
1295483297,24,2,35759
1295496053,2,2,35993
1295512433,14,2,35993
1295993537,16,2,35999
1296505073,10,2,36007
1296766193,18,2,36007
1296792137,4,2,36011
1296792377,8,2,36011
1296937193,10,2,36013
1297154633,30,2,14947
1297198313,18,2,36013
1297225313,10,2,36017
1297453673,30,2,14957
1297486433,18,2,36017
1298596573,1,3,1091
1298598619,11,3,1091
1298970593,22,2,35983
1300395737,4,2,36061
1300637777,24,2,35831
1300698353,22,2,36007
1300828493,2,2,36067
1300829513,10,2,36067
1300844873,14,2,36067
1301090633,18,2,36067
1301262353,10,2,36073
1301418593,22,2,36017
1301523473,18,2,36073
1302071417,24,2,35851
1302636737,28,2,32159
1302842273,26,2,35153
1302993473,6,2,36097
1303255553,18,2,36097
1303715453,2,2,36107
1303925417,16,2,36109
1304567177,28,2,32189
1304569073,30,2,15193
1305022793,22,2,36067
1305883793,10,2,36137
1306799933,20,3,1093
1306894817,4,2,36151
1307618177,8,2,36161
1307909753,22,2,36107
1308666497,20,2,36161
1309945661,22,3,1093
1310077073,22,2,36137
1310546177,24,2,35969
1310837057,20,2,36191
1311302393,30,2,15413
1311671093,2,2,36217
1311687473,14,2,36217
1312540457,4,2,36229
1313155553,30,2,15473
1313410097,4,2,36241
1314135257,8,2,36251
1314458657,20,2,36241
1314823193,26,2,35323
1315105793,26,2,35327
1315505897,16,2,36269
1315540337,28,2,32359
1316021753,10,2,36277
1316571713,30,2,15583
1317443993,18,2,36293
1317621497,12,2,36299
1318199273,10,2,36307
1318445273,30,2,15643
1318570433,30,2,15647
1319073857,12,2,36319
1319135297,16,2,36319
1319698313,30,2,15683
1320139801,7,3,1097
1320215033,22,2,36277
1321556993,14,2,36353
1322340113,30,2,15767
1322529353,30,2,15773
1323287033,30,2,15797
1323320897,28,2,32479
1323672017,24,2,36151
1324109153,30,2,15823
1325007953,22,2,36343
1326565697,24,2,36191
1327189433,22,2,36373
1327364513,10,2,36433
1328878553,30,2,15973
1329112913,6,2,36457
1329129233,14,2,36457
1329276593,26,2,35527
1329317657,24,2,36229
1329702953,26,2,35533
1329843113,10,2,36467
1329965873,30,2,16007
1330717457,4,2,36479
1330782977,16,2,36479
1331036537,20,2,36469
1331569073,30,2,16057
1331739053,2,2,36493
1331766017,20,2,36479
1331782337,28,2,32609
1332001193,18,2,36493
1332031013,2,2,36497
1332217577,24,2,36269
1332293153,18,2,36497
1332565097,28,2,32621
1333821953,30,2,16127
1333929593,6,2,36523
1333945913,14,2,36523
1333970513,26,2,35593
1334191673,18,2,36523
1334221793,6,2,36527
1334474033,22,2,36473
1334682473,26,2,35603
1335244697,4,2,36541
1335248777,12,2,36541
1335310217,16,2,36541
1335416417,20,2,36529
1335846977,24,2,36319
1335933353,22,2,36493
1335955073,30,2,16193
1336041137,16,2,36551
1336560737,8,2,36559
1336564577,12,2,36559
1336626017,16,2,36559
1336853033,6,2,36563
1337115113,18,2,36563
1338315893,2,2,36583
1338552353,30,2,16273
1338608573,2,2,36587
1338624953,14,2,36587
1338636001,29,3,929
1339490897,12,2,36599
1339552337,16,2,36599
1340072453,2,2,36607
1340073473,10,2,36607
1340088833,14,2,36607
1341489593,30,2,16363
1341919729,1,3,1103
1342050799,17,3,1103
1342373897,28,2,32771
1342732217,20,2,36629
1342802873,22,2,36587
1343259713,30,2,16417
1343442473,6,2,36653
1343704553,18,2,36653
1344245633,30,2,16447
1344266753,22,2,36607
1344341057,28,2,32801
1345202393,6,2,36677
1345642553,6,2,36683
1346229737,8,2,36691
1346669873,6,2,36697
1346835377,28,2,32839
1347278057,20,2,36691
1347554777,12,2,36709
1347640577,24,4,191
1347743633,30,2,16553
1349758217,12,2,36739
1350387251,18,5,67
1350489017,4,2,36749
1350493097,12,2,36749
1350554537,16,2,36749
1351197473,30,2,16657
1351730753,30,2,16673
1352021897,24,2,36541
1352419697,20,2,36761
1352760377,16,2,36779
1352842217,8,2,36781
1353337697,24,2,36559
1353643217,16,2,36791
1354626257,20,2,36791
1355545193,30,2,16787
1355851577,16,2,36821
1356264017,24,2,36599
1356669893,2,2,36833
1356669953,6,2,36833
1357428473,30,2,16843
1357701473,6,2,36847
1358438453,2,2,36857
1358439473,10,2,36857
1358700593,18,2,36857
1359470657,4,2,36871
1359474737,12,2,36871
1359913193,6,2,36877
1360175273,18,2,36877
1360519217,20,2,36871
1360603793,30,2,16937
1360650773,2,2,36887
1360807073,30,2,16943
1360912913,18,2,36887
1361453393,26,2,35977
1361601737,16,2,36899
1361684057,8,2,36901
1361687897,12,2,36901
1361895713,22,2,36847
1362126497,28,2,33071
1362570593,10,2,36913
1362632753,22,2,36857
1362732377,20,2,36901
1363012577,4,2,36919
1363751057,4,2,36929
1363751297,8,2,36929
1363816577,16,2,36929
1364786273,10,2,36943
1364845073,22,2,36887
1365047393,18,2,36943
1366531337,24,2,36739
1366763873,22,2,36913
1367002733,2,2,36973
1368148337,24,2,36761
1368495017,20,2,36979
1369222073,6,2,37003
1369281497,28,2,33179
1369414217,28,2,33181
1369472057,24,2,36779
1369978553,14,2,37013
1370077937,28,2,33191
1370108533,29,3,941
1370224313,18,2,37013
1370354897,24,2,36791
1370406617,8,2,37019
1370554457,4,2,37021
1370824313,26,2,36107
1371454937,20,2,37019
1371887537,4,2,37039
1372632497,12,2,37049
1372693937,16,2,37049
1375474159,25,3,1103
1375701953,30,2,17377
1376188433,10,2,37097
1376247857,24,2,36871
1376449553,18,2,37097
1377392057,28,2,33301
1377415553,22,2,37057
1377671753,6,2,37117
1377672713,10,2,37117
1377933833,18,2,37117
1378058177,28,2,33311
1378133513,14,2,37123
1378379273,18,2,37123
1379187353,30,2,17477
1379257697,28,2,33329
1379309417,12,2,37139
1380381713,22,2,37097
1380528257,24,2,36929
1380791537,8,2,37159
1381683257,4,2,37171
1381748777,16,2,37171
1382427017,8,2,37181
1382552153,30,2,17573
1383129593,26,2,36277
1383765857,8,2,37199
1383914657,8,2,37201
1385367233,18,2,37217
1385511473,30,2,17657
1385568113,14,2,37223
1386430313,30,2,17683
1387057433,14,2,37243
1387303193,18,2,37243
1387492097,12,4,193
1387802393,14,2,37253
1388649473,26,2,36353
1389278897,28,2,33479
1389405617,24,2,37049
1389574733,2,2,37277
1389574793,6,2,37277
1389575753,10,2,37277
1389591113,14,2,37277
1390831553,26,2,36383
1391235353,22,2,37243
1392522113,18,2,37313
1392861137,12,2,37321
1393668629,4,3,1117
1393669637,10,3,1117
1394205017,12,2,37339
1394717189,20,3,1117
1395313217,28,2,33569
1395545513,6,2,37357
1395844337,4,2,37361
1395993773,2,2,37363
1396010153,14,2,37363
1396082537,24,2,37139
1396446257,12,2,37369
1398209993,30,2,18013
1398238217,20,2,37379
1399345097,28,2,33629
1399798937,24,2,37189
1400542817,24,2,37199
1401832577,12,2,37441
1402277813,2,2,37447
1402877057,20,2,37441
1402910273,30,2,18143
1403476433,6,2,37463
1403477393,10,2,37463
1405237433,18,2,37483
1405424753,26,2,36583
1405541297,28,2,33721
1406775053,2,2,37507
1406791433,14,2,37507
1407037193,18,2,37507
1407059873,30,2,18257
1407075377,8,2,37511
1407526313,10,2,37517
1408123697,20,2,37511
1408780817,28,2,33769
1409027393,10,2,37537
1409042753,14,2,37537
1409288513,18,2,37537
1409634257,24,2,37321
1409777273,6,2,37547
1409919353,22,2,37493
1410267137,28,2,33791
1410551273,26,2,36653
1411279553,6,2,37567
1411580297,8,2,37571
1411645577,16,2,37571
1412191433,30,2,18397
1412246777,16,2,37579
1413219377,24,2,37369
1413229817,20,2,37579
1413296153,30,2,18427
1413971513,22,2,37547
1414302833,14,2,37607
1414325657,28,2,33851
1415189177,4,2,37619
1415254697,16,2,37619
1416243713,10,2,37633
1416621113,30,2,18517
1416843353,30,2,18523
1416996473,10,2,37643
1417233971,26,5,67
1417257593,18,2,37643
1417447217,4,2,37649
1417955633,30,2,18553
1418049653,2,2,37657
1419441473,30,2,18593
1420615577,12,2,37691
1421214617,4,2,37699
1422263177,20,2,37699
1422572093,2,2,37717
1423102217,24,2,37501
1424956553,22,2,37693
1425547313,26,2,36857
1427088977,28,2,34039
1427403977,4,2,37781
1427408057,12,2,37781
1427469497,16,2,37781
1427571473,14,2,37783
1428357257,24,2,37571
1428452537,20,2,37781
1429675817,12,2,37811
1429823033,6,2,37813
1431184817,8,2,37831
1432233137,20,2,37831
1432395413,2,2,37847
1433455577,8,2,37861
1434212657,4,2,37871
1434224417,24,2,37649
1435235993,30,2,19013
1435272737,28,2,34159
1435867217,20,2,37879
1436149193,30,2,19037
1436183633,10,2,37897
1436957033,14,2,37907
1437043913,22,2,37853
1437521153,30,2,19073
1437991817,24,2,37699
1440196817,28,2,34231
1440330113,26,2,37057
1440343937,16,2,37951
1441493093,2,2,37967
1441493153,6,2,37967
1441729313,30,2,19183
1443028553,14,2,37987
1443316097,4,2,37991
1443803993,30,2,19237
1444034153,18,2,37997
1444364657,20,2,37991
1444836377,8,2,38011
1445190353,30,2,19273
1445687393,22,2,37967
1448030873,6,2,38053
1448292953,18,2,38053
1448426657,28,2,34351
1449248777,4,2,38069
1449663617,28,2,34369
1450218233,30,2,19403
1450314953,6,2,38083
1452213953,26,2,37217
1452225113,22,2,38053
1452600833,6,2,38113
1452660593,26,2,37223
1453123697,16,2,38119
1454264873,30,2,19507
1454894873,26,2,37253
1455346457,8,2,38149
1455651473,6,2,38153
1455652433,10,2,38153
1456683593,26,2,37277
1456685297,28,2,34471
1457483333,2,2,38177
1457745473,18,2,38177
1457942513,10,2,38183
1458465257,16,2,38189
1459996817,28,2,34519
1460692217,8,2,38219
1460757497,16,2,38219
1460777477,26,3,1117
1461609377,4,2,38231
1461674897,16,2,38231
1461713633,30,2,19697
1462135793,22,2,38183
1462221377,8,2,38239
1462225217,12,2,38239
1463102633,26,2,37363
1463922833,30,2,19753
1464834377,28,2,34589
1464972737,28,2,34591
1465434977,4,2,38281
1465435217,8,2,38281
1465644473,26,2,37397
1466483537,20,2,38281
1467120833,10,2,38303
1467741617,28,2,34631
1467883433,30,2,19853
1468193513,10,2,38317
1468988657,28,2,34649
1469016833,22,2,38273
1469112497,8,2,38329
1469177777,16,2,38329
1469592503,28,3,1063
1472123417,24,2,38149
1472333897,8,2,38371
1472810513,14,2,38377
1473621833,30,2,19997
1474022513,6,2,38393
1474662353,30,2,20023
1476945857,12,2,38431
1476988433,22,2,38377
1477007297,16,2,38431
1478386577,24,2,38231
1478391137,16,2,38449
1478633213,2,2,38453
1479094697,4,2,38459
1479094937,8,2,38459
1479160217,16,2,38459
1479248777,8,2,38461
1482327017,4,2,38501
1482827513,22,2,38453
1483116113,30,2,20233
1483356731,26,3,1123
1483375577,20,2,38501
1484104313,26,2,37643
1485824993,18,2,38543
1486642253,2,2,38557
1486928753,30,2,20327
1487016257,16,2,38561
1487413493,2,2,38567
1487429873,14,2,38567
1490658977,12,2,38609
